date,region,confirmed,death,released
20200226,Chungbuk,5,0,0
20200226,Chungnam,2,0,0
20200226,Jeonbuk,3,0,1
20200226,Jeonnam,1,0,1
20200226,Gyeongbuk,270,6,1
20200226,Gyeongnam,25,0,0
20200226,Jeju,2,0,0
20200226,Quarantine,0,0,0
20200227,Seoul,55,0,9
20200227,Busan,56,0,0
20200227,Daegu,1017,6,1
20200227,Incheon,3,0,1
20200227,Gwangju,9,0,2
20200227,Daejeon,8,0,0
20200227,Ulsan,6,0,0
20200227,Sejong,1,0,0
20200227,Gyeonggi,55,1,9
20200227,Gangwon,6,0,0
20200227,Chungbuk,7,0,0
20200227,Chungnam,7,0,0
20200227,Jeonbuk,3,0,1
20200227,Jeonnam,1,0,1
20200227,Gyeongbuk,323,6,2
20200227,Gyeongnam,36,0,0
20200227,Jeju,2,0,0
20200227,Quarantine,0,0,0
20200228,Seoul,62,0,9
20200228,Busan,61,0,0
20200228,Daegu,1313,6,2
20200228,Incheon,4,0,1
20200228,Gwangju,9,0,2
20200228,Daejeon,12,0,0
20200228,Ulsan,11,0,0
20200228,Sejong,1,0,0
20200228,Gyeonggi,66,1,9
20200228,Gangwon,6,0,0
20200228,Chungbuk,10,0,0
20200228,Chungnam,16,0,0
20200228,Jeonbuk,5,0,1
20200228,Jeonnam,1,0,1
20200228,Gyeongbuk,397,6,2
20200228,Gyeongnam,46,0,0
20200228,Jeju,2,0,0
20200228,Quarantine,0,0,0
20200229,Seoul,74,0,11
20200229,Busan,75,0,0
20200229,Daegu,2055,10,2
20200229,Incheon,6,0,1
20200229,Gwangju,9,0,2
20200229,Daejeon,13,0,0
20200229,Ulsan,17,0,0
20200229,Sejong,1,0,0
20200229,Gyeonggi,76,1,9
20200229,Gangwon,7,0,0
20200229,Chungbuk,10,0,0
20200229,Chungnam,48,0,0
20200229,Jeonbuk,5,0,1
20200229,Jeonnam,2,0,1
20200229,Gyeongbuk,472,6,2
20200229,Gyeongnam,59,0,0
20200229,Jeju,2,0,0
20200229,Quarantine,0,0,0
20200301,Seoul,82,0,13
20200301,Busan,79,0,0
20200301,Daegu,2567,11,4
20200301,Incheon,6,0,1
20200301,Gwangju,9,0,2
20200301,Daejeon,13,0,0
20200301,Ulsan,17,0,0
20200301,Sejong,1,0,0
20200301,Gyeonggi,84,1,8
20200301,Gangwon,7,0,0
20200301,Chungbuk,11,0,0
20200301,Chungnam,60,0,0
20200301,Jeonbuk,5,0,1
20200301,Jeonnam,3,0,1
20200301,Gyeongbuk,520,6,0
20200301,Gyeongnam,60,0,0
20200301,Jeju,2,0,0
20200301,Quarantine,0,0,0
20200302,Seoul,91,0,13
20200302,Busan,85,0,0
20200302,Daegu,3084,15,4
20200302,Incheon,7,0,1
20200302,Gwangju,9,0,2
20200302,Daejeon,14,0,1
20200302,Ulsan,20,0,0
20200302,Sejong,1,0,0
20200302,Gyeonggi,92,1,8
20200302,Gangwon,19,0,0
20200302,Chungbuk,11,0,0
20200302,Chungnam,77,0,0
20200302,Jeonbuk,6,0,1
20200302,Jeonnam,4,0,1
20200302,Gyeongbuk,628,6,0
20200302,Gyeongnam,62,0,0
20200302,Jeju,2,0,0
20200302,Quarantine,0,0,0
20200303,Seoul,98,0,13
20200303,Busan,87,0,1
20200303,Daegu,3604,21,6
20200303,Incheon,7,0,1
20200303,Gwangju,11,0,2
20200303,Daejeon,14,0,1
20200303,Ulsan,20,0,0
20200303,Sejong,1,0,0
20200303,Gyeonggi,94,1,8
20200303,Gangwon,20,0,0
20200303,Chungbuk,11,0,0
20200303,Chungnam,81,0,0
20200303,Jeonbuk,7,0,1
20200303,Jeonnam,4,0,1
20200303,Gyeongbuk,687,6,0
20200303,Gyeongnam,63,0,0
20200303,Jeju,3,0,0
20200303,Quarantine,0,0,0
20200304,Seoul,98,0,13
20200304,Busan,90,0,1
20200304,Daegu,4002,25,6
20200304,Incheon,8,0,1
20200304,Gwangju,13,0,2
20200304,Daejeon,15,0,0
20200304,Ulsan,23,0,0
20200304,Sejong,1,0,0
20200304,Gyeonggi,103,1,8
20200304,Gangwon,21,0,0
20200304,Chungbuk,11,0,0
20200304,Chungnam,82,0,0
20200304,Jeonbuk,7,0,1
20200304,Jeonnam,4,0,0
20200304,Gyeongbuk,782,6,0
20200304,Gyeongnam,65,0,3
20200304,Jeju,3,0,0
20200304,Quarantine,0,0,0
20200305,Seoul,103,0,25
20200305,Busan,90,0,2
20200305,Daegu,4328,28,14
20200305,Incheon,9,0,2
20200305,Gwangju,13,0,3
20200305,Daejeon,16,0,0
20200305,Ulsan,23,0,0
20200305,Sejong,1,0,0
20200305,Gyeonggi,110,1,10
20200305,Gangwon,23,0,3
20200305,Chungbuk,12,0,1
20200305,Chungnam,86,0,0
20200305,Jeonbuk,7,0,2
20200305,Jeonnam,4,0,0
20200305,Gyeongbuk,863,6,23
20200305,Gyeongnam,74,0,3
20200305,Jeju,4,0,0
20200305,Quarantine,0,0,0
20200306,Seoul,105,0,25
20200306,Busan,93,0,2
20200306,Daegu,4695,31,15
20200306,Incheon,9,0,2
20200306,Gwangju,13,0,3
20200306,Daejeon,18,0,0
20200306,Ulsan,23,0,1
20200306,Sejong,1,0,0
20200306,Gyeonggi,120,1,14
20200306,Gangwon,25,0,3
20200306,Chungbuk,15,0,1
20200306,Chungnam,90,0,0
20200306,Jeonbuk,7,0,2
20200306,Jeonnam,4,0,0
20200306,Gyeongbuk,985,10,36
20200306,Gyeongnam,77,0,4
20200306,Jeju,4,0,0
